# accession,cell,lysate
A0A023PXQ4,0,1
A0A023T4K3,0,1
A0A023T778,0,1
A0A061ACF5,0,1
A0A061ACH4,0,1
A0A061ACH8,0,1
A0A061ACH9,0,1
A0A061ACI3,0,1
A0A061ACL3,0,1
A0A061ACL6,0,1
A0A061ACM7,0,1
A0A061ACQ8,0,1
A0A061ACR1,0,1
A0A061ACX4,0,1
A0A061AD29,0,1
A0A061AJJ3,0,1
A0A067XG53,0,1
A0A068BIS6,0,1
A0A068BIT0,0,1
A0A077S9N1,0,1
A0A078BPG0,0,1
A0A087WNV1,0,1
A0A087WP63,0,1
A0A087WPH5,0,1
A0A087WPL5,0,1
A0A087WPP8,0,1
A0A087WPR9,0,1
A0A087WPX0,0,1
A0A087WQ86,0,1
A0A087WQE6,0,1
A0A087WQS2,0,1
A0A087WR70,0,1
A0A087WRE5,0,1
A0A087WRE7,0,1
A0A087WRJ2,0,1
A0A087WRV0,0,1
A0A087WRW6,0,1
A0A087WS03,0,1
A0A087WST1,0,1
A0A0A0MPG3,0,1
A0A0A0MQ68,0,1
A0A0A0MQ73,0,1
A0A0A0MQ79,0,1
A0A0A0MQ89,0,1
A0A0A0MQ98,0,1
A0A0A0MQ99,0,1
A0A0A0MQA5,0,1
A0A0A0MQD4,0,1
A0A0A0MQE5,0,1
A0A0A0MQF5,0,1
A0A0A0MQM0,0,1
A0A0A0MQM6,0,1
A0A0A0MQN4,0,1
A0A0A6YVR9,0,1
A0A0A6YVS2,0,1
A0A0A6YVU8,0,1
A0A0A6YW28,0,1
A0A0A6YW87,0,1
A0A0A6YWA7,0,1
A0A0A6YWB0,0,1
A0A0A6YWG7,0,1
A0A0A6YWP2,0,1
A0A0A6YWT5,0,1
A0A0A6YX18,0,1
A0A0A6YX21,0,1
A0A0A6YX25,0,1
A0A0A6YX40,0,1
A0A0A6YX73,0,1
A0A0A6YXG1,0,1
A0A0A6YXL6,0,1
A0A0A6YXM5,0,1
A0A0A6YY22,0,1
A0A0A6YY64,0,1
A0A0A6YY67,0,1
A0A0B4J1E6,0,1
A0A0B4J1G0,0,1
A0A0B4J1K8,0,1
A0A0D2X7Z2,0,1
A0A0F6AIX5,0,1
A0A0G2JDF7,0,1
A0A0G2JDH8,0,1
A0A0G2JDQ1,0,1
A0A0G2JDS8,0,1
A0A0G2JDW7,0,1
A0A0G2JE03,0,1
A0A0G2JE93,0,1
A0A0G2JE97,0,1
A0A0G2JEG2,0,1
A0A0G2JEG3,0,1
A0A0G2JEH5,0,1
A0A0G2JEK2,0,1
A0A0G2JET2,0,1
A0A0G2JF30,0,1
A0A0G2JF44,0,1
A0A0G2JFB2,0,1
A0A0G2JFC9,0,1
A0A0G2JFF1,0,1
A0A0G2JFF9,0,1
A0A0G2JFJ6,0,1
A0A0G2JFN1,0,1
A0A0G2JFQ4,0,1
A0A0G2JFT8,0,1
A0A0G2JFZ4,0,1
A0A0G2JGD2,0,1
A0A0G2JGL8,0,1
A0A0G2JGP4,0,1
A0A0G2JGX4,0,1
A0A0H2UH13,0,1
A0A0H2UKB8,0,1
A0A0J9YIW4,0,1
A0A0J9YTR2,0,1
