# accession,Tm,ogt,species
A1L4X7,52.11956440786578,22,Arabidopsis thaliana
A2RVK7,51.831341640699854,22,Arabidopsis thaliana
A4GNA8,39.65603628174709,22,Arabidopsis thaliana
A4GSN8,49.259603095498406,22,Arabidopsis thaliana
A7WM73,49.238643329406344,22,Arabidopsis thaliana
A8R7K9,42.87746455613993,22,Arabidopsis thaliana
B0F481,48.90328554101894,22,Arabidopsis thaliana
B0F9L4,38.06693790868867,22,Arabidopsis thaliana
B3H5K9,48.84901452479383,22,Arabidopsis thaliana
B3LFA4,41.17501797034686,22,Arabidopsis thaliana
B9DFI7,40.29139545598253,22,Arabidopsis thaliana
B9DFK5,36.72465139181221,22,Arabidopsis thaliana
B9DFS6,44.53791264437804,22,Arabidopsis thaliana
B9DFX7,41.61134508338083,22,Arabidopsis thaliana
B9DGD6,45.18842004644026,22,Arabidopsis thaliana
C0LGG8,56.764563161897556,22,Arabidopsis thaliana
C0LGG9,46.64605752906439,22,Arabidopsis thaliana
C0LGQ9,42.580970990894265,22,Arabidopsis thaliana
D9UBX6,41.2239713006053,22,Arabidopsis thaliana
F4HNU6,48.83760152592554,22,Arabidopsis thaliana
F4HTM3,51.193125689631195,22,Arabidopsis thaliana
F4HTT6,50.43375189913628,22,Arabidopsis thaliana
F4HWL4,48.90616078288495,22,Arabidopsis thaliana
F4HXV6,39.72545801150115,22,Arabidopsis thaliana
F4HYF3,50.00712969764009,22,Arabidopsis thaliana
F4I116,38.40740429254332,22,Arabidopsis thaliana
F4I6M1,47.55991205091585,22,Arabidopsis thaliana
F4I7I0,50.25118721755264,22,Arabidopsis thaliana
F4I893,35.46007053739834,22,Arabidopsis thaliana
F4I907,39.98610384071767,22,Arabidopsis thaliana
F4IAG2,41.25418660010204,22,Arabidopsis thaliana
F4ICX9,46.46897692627141,22,Arabidopsis thaliana
F4IFC5,40.843697847195465,22,Arabidopsis thaliana
F4IG73,35.98455954874716,22,Arabidopsis thaliana
F4IGA5,45.19512977369134,22,Arabidopsis thaliana
F4IIM1,39.30067744874861,22,Arabidopsis thaliana
F4IIS5,38.80075874407565,22,Arabidopsis thaliana
F4IKM1,54.0205836375229,22,Arabidopsis thaliana
F4IPY2,47.751047878511265,22,Arabidopsis thaliana
F4IRR2,40.19212930430855,22,Arabidopsis thaliana
F4IUX6,40.57361042575304,22,Arabidopsis thaliana
F4IW10,41.97468504498007,22,Arabidopsis thaliana
F4IW47,41.53071236047649,22,Arabidopsis thaliana
F4IXW2,42.46986409067272,22,Arabidopsis thaliana
F4IYF8,42.7941304235534,22,Arabidopsis thaliana
F4IYM4,47.18130368927613,22,Arabidopsis thaliana
F4IZR5,37.23959912360604,22,Arabidopsis thaliana
F4J1H7,50.564196404966616,22,Arabidopsis thaliana
F4J2Z7,43.545469150084635,22,Arabidopsis thaliana
F4J5S1,43.99749770764497,22,Arabidopsis thaliana
F4J738,40.8663603143204,22,Arabidopsis thaliana
F4J8C6,41.17846534810913,22,Arabidopsis thaliana
F4J8D3,43.34928952906207,22,Arabidopsis thaliana
F4J8L3,44.92633208277314,22,Arabidopsis thaliana
F4JCU0,50.87959826820589,22,Arabidopsis thaliana
F4JCU3,47.0659241011666,22,Arabidopsis thaliana
F4JEX5,42.34831237722164,22,Arabidopsis thaliana
F4JFN3,42.70377396093217,22,Arabidopsis thaliana
F4JGR5,43.09710987244003,22,Arabidopsis thaliana
F4JHH5,35.648854453828726,22,Arabidopsis thaliana
F4JJT9,42.46314110475763,22,Arabidopsis thaliana
F4JKH6,49.81233465973022,22,Arabidopsis thaliana
F4JLM5,42.984150375684486,22,Arabidopsis thaliana
F4JMJ1,48.53700718021684,22,Arabidopsis thaliana
F4JML5,50.34348760993374,22,Arabidopsis thaliana
F4JNU8,44.65637538358257,22,Arabidopsis thaliana
F4JPR7,49.79260467913131,22,Arabidopsis thaliana
F4JRE0,40.30107650121205,22,Arabidopsis thaliana
F4JSE7,38.98226310592917,22,Arabidopsis thaliana
F4JTE7,38.02648042556696,22,Arabidopsis thaliana
F4JVN6,53.62075029202259,22,Arabidopsis thaliana
F4JZC2,57.7725470736303,22,Arabidopsis thaliana
F4K0E8,48.30783037798988,22,Arabidopsis thaliana
F4K410,38.69419251209563,22,Arabidopsis thaliana
F4K487,43.59061323347481,22,Arabidopsis thaliana
F4K5T4,45.89628952392597,22,Arabidopsis thaliana
F4KAB8,43.18802430707373,22,Arabidopsis thaliana
F4KBF3,42.67952637261599,22,Arabidopsis thaliana
F4KE63,39.72349422989468,22,Arabidopsis thaliana
F4KEY9,43.78311774284436,22,Arabidopsis thaliana
F4KFC7,43.23190993527442,22,Arabidopsis thaliana
F4KGQ0,44.92177655286514,22,Arabidopsis thaliana
F4KHG6,45.642293037611296,22,Arabidopsis thaliana
O03986,41.29235114199596,22,Arabidopsis thaliana
O04023,48.412099193698715,22,Arabidopsis thaliana
O04130,44.75740590104999,22,Arabidopsis thaliana
