# accession,Tm,ogt,species
A1L4X7_AHL14,52.11956440786578,22,Arabidopsis thaliana
A2RVK7_RRP41L,51.831341640699854,22,Arabidopsis thaliana
A4GNA8_PSD3,39.65603628174709,22,Arabidopsis thaliana
A4GSN8_NUA,49.259603095498406,22,Arabidopsis thaliana
A7WM73_HEXO1,49.238643329406344,22,Arabidopsis thaliana
A8R7K9_VPS35C,42.87746455613993,22,Arabidopsis thaliana
B0F481_BIO3-BIO1,48.90328554101894,22,Arabidopsis thaliana
B0F9L4_GC6,38.06693790868867,22,Arabidopsis thaliana
B3H5K9_NEDD1,48.84901452479383,22,Arabidopsis thaliana
B3LFA4_At5g38830,41.17501797034686,22,Arabidopsis thaliana
B9DFI7_At1g26850,40.29139545598253,22,Arabidopsis thaliana
B9DFK5_RE,36.72465139181221,22,Arabidopsis thaliana
B9DFS6_SNX2B,44.53791264437804,22,Arabidopsis thaliana
B9DFX7_PAA2,41.61134508338083,22,Arabidopsis thaliana
B9DGD6_ACS,45.18842004644026,22,Arabidopsis thaliana
C0LGG8_At1g53430,56.764563161897556,22,Arabidopsis thaliana
C0LGG9_At1g53440,46.64605752906439,22,Arabidopsis thaliana
C0LGQ9_At4g20940,42.580970990894265,22,Arabidopsis thaliana
D9UBX6_RTM2,41.2239713006053,22,Arabidopsis thaliana
F4HNU6_At1g06900,48.83760152592554,22,Arabidopsis thaliana
F4HTM3_GCS1,51.193125689631195,22,Arabidopsis thaliana
F4HTT6_CYP26-2,50.43375189913628,22,Arabidopsis thaliana
F4HWL4_At1g28350,48.90616078288495,22,Arabidopsis thaliana
F4HXV6_NUP155,39.72545801150115,22,Arabidopsis thaliana
F4HYF3_DCD,50.00712969764009,22,Arabidopsis thaliana
F4I116_At1g09620,38.40740429254332,22,Arabidopsis thaliana
F4I6M1_POLIA,47.55991205091585,22,Arabidopsis thaliana
F4I7I0_ALAAT1,50.25118721755264,22,Arabidopsis thaliana
F4I893_ILA,35.46007053739834,22,Arabidopsis thaliana
F4I907_GLYR2,39.98610384071767,22,Arabidopsis thaliana
F4IAG2_SS3,41.25418660010204,22,Arabidopsis thaliana
F4ICX9_TSA1,46.46897692627141,22,Arabidopsis thaliana
F4IFC5_EMB2761,40.843697847195465,22,Arabidopsis thaliana
