# accession,Tm,ogt,species
A0AVF1,48.045966331068655,37,Homo sapiens
A0AVF1,48.885179183303,37,Homo sapiens
A0AVT1,49.76510178577406,37,Homo sapiens
A0AVT1,46.40443846552952,37,Homo sapiens
A0FGR8,50.498642390237926,37,Homo sapiens
A0FGR8,49.3487666079967,37,Homo sapiens
A0JLT2,51.38085131249714,37,Homo sapiens
A0JLT2,54.14268340482007,37,Homo sapiens
A0JNW5,52.68876697905022,37,Homo sapiens
A0JNW5,52.52577014829629,37,Homo sapiens
A0MZ66,48.98153012456662,37,Homo sapiens
A0MZ66,51.382414576893886,37,Homo sapiens
A1A4S6,45.79154213086934,37,Homo sapiens
A1A4S6,50.39746129973031,37,Homo sapiens
A1A5D9,52.593992867998566,37,Homo sapiens
A1A5D9,52.26882369020326,37,Homo sapiens
A2A274,50.71794185587952,37,Homo sapiens
A2A274,51.51777000819138,37,Homo sapiens
A2A2Q9,49.054254774641656,37,Homo sapiens
A2A2Q9,49.91832496418389,37,Homo sapiens
A2A3N6,52.625065624122264,37,Homo sapiens
A2A3N6,52.2793035900747,37,Homo sapiens
A2ABF8,49.53186322758899,37,Homo sapiens
A2ABF8,49.39614190368583,37,Homo sapiens
A2ABF9,50.370961190814995,37,Homo sapiens
A2ABF9,49.68668916464939,37,Homo sapiens
A2RRP1,48.76485406260334,37,Homo sapiens
A2RRP1,44.25466122180539,37,Homo sapiens
A2RTX5,51.43463145320861,37,Homo sapiens
A2RTX5,48.72213763882885,37,Homo sapiens
A2RUC4,52.82967670758417,37,Homo sapiens
A2RUC4,53.17396607508673,37,Homo sapiens
A2VCL2,55.087856131194805,37,Homo sapiens
A2VCL2,54.03098312736982,37,Homo sapiens
A3KMH1,50.1473022633728,37,Homo sapiens
A3KMH1,49.58073033579243,37,Homo sapiens
A3KN83,50.33223244687086,37,Homo sapiens
A3KN83,49.17329949257087,37,Homo sapiens
A4D104,53.23187549761265,37,Homo sapiens
A4D104,56.58364478334627,37,Homo sapiens
A4D1E1,51.17941135513051,37,Homo sapiens
A4D1E1,55.14825962269753,37,Homo sapiens
A4D1E9,48.79976846964693,37,Homo sapiens
A4D1E9,45.57513870205012,37,Homo sapiens
A4D1P6,48.83778547246634,37,Homo sapiens
A4D1P6,51.56361584355738,37,Homo sapiens
A4D212,47.53463560642174,37,Homo sapiens
A4D212,47.426760346454735,37,Homo sapiens
A4D2P6,51.036696987436706,37,Homo sapiens
A4D2P6,49.85493679972924,37,Homo sapiens
A4GXA9,53.02168844403553,37,Homo sapiens
A4GXA9,50.67725289841973,37,Homo sapiens
A5D8V6,50.28373330466935,37,Homo sapiens
A5D8V6,51.75820398713624,37,Homo sapiens
A5PL33,48.82133617614656,37,Homo sapiens
A5PL33,51.48743038147611,37,Homo sapiens
A5YKK6,49.120826164574794,37,Homo sapiens
A5YKK6,47.83473276373828,37,Homo sapiens
A6NCE7,52.65105949415818,37,Homo sapiens
A6NCE7,52.475329810214205,37,Homo sapiens
A6NCM1,50.82009400666023,37,Homo sapiens
A6NCM1,53.88319512527862,37,Homo sapiens
A6NDK9,54.343783978713155,37,Homo sapiens
A6NDK9,51.49684483209322,37,Homo sapiens
A6NDU8,48.819862174377455,37,Homo sapiens
A6NDU8,49.129817082199,37,Homo sapiens
A6NE52,54.710033122126795,37,Homo sapiens
A6NE52,56.00290140938048,37,Homo sapiens
A6NED2,52.83235160991589,37,Homo sapiens
A6NED2,53.09598197332317,37,Homo sapiens
A6NEM2,51.93735409261296,37,Homo sapiens
A6NEM2,52.041722415647655,37,Homo sapiens
A6NFD8,55.88942853618851,37,Homo sapiens
A6NFD8,56.19512454844939,37,Homo sapiens
A6NFI3,48.77743688628236,37,Homo sapiens
A6NFI3,48.78168709542516,37,Homo sapiens
A6NFM0,49.90550015482111,37,Homo sapiens
A6NFM0,48.208663731573125,37,Homo sapiens
A6NFQ2,47.55189853721534,37,Homo sapiens
A6NFQ2,52.07544207189203,37,Homo sapiens
A6NFV8,54.645366404051146,37,Homo sapiens
A6NFV8,53.904487453432196,37,Homo sapiens
A6NFY7,52.402993991021624,37,Homo sapiens
A6NFY7,48.4886297943806,37,Homo sapiens
A6NHB5,49.95905149081275,37,Homo sapiens
A6NHB5,50.20209931181926,37,Homo sapiens
A6NHL2,53.59235198973664,37,Homo sapiens
A6NHL2,47.953384482945864,37,Homo sapiens
A6NHR9,46.47912462400987,37,Homo sapiens
A6NHR9,43.61152632233279,37,Homo sapiens
A6NHX0,56.31510139350037,37,Homo sapiens
A6NHX0,58.785648810337264,37,Homo sapiens
A6NIH7,49.29881043547614,37,Homo sapiens
A6NIH7,49.23766952142515,37,Homo sapiens
A6NIW2,50.07313226335195,37,Homo sapiens
A6NIW2,50.48567698613367,37,Homo sapiens
A6NJ78,47.69284626884293,37,Homo sapiens
A6NJ78,44.613219622760425,37,Homo sapiens
A6NK58,55.4049585751403,37,Homo sapiens
A6NK58,53.802128747300415,37,Homo sapiens
A6NKD9,50.218770877034586,37,Homo sapiens
A6NKD9,54.297702753246135,37,Homo sapiens
A6NKF1,48.24120390853005,37,Homo sapiens
A6NKF1,48.0393565256859,37,Homo sapiens
A6NKG5,48.26726593648548,37,Homo sapiens
A6NKG5,48.96635592010809,37,Homo sapiens
A6NMN0,49.14435789694257,37,Homo sapiens
A6NMN0,46.73382611722406,37,Homo sapiens
A6NMQ1,48.522359569599004,37,Homo sapiens
A6NMQ1,50.20513774807495,37,Homo sapiens
A8K0B5,52.756070215327654,37,Homo sapiens
A8K0B5,52.400505932077905,37,Homo sapiens
A8K7Q2,53.5238319494477,37,Homo sapiens
A8K7Q2,51.50577700545909,37,Homo sapiens
A8MPS7,52.10203787566614,37,Homo sapiens
A8MPS7,51.64658931348403,37,Homo sapiens
A8MQ07,54.27581655748442,37,Homo sapiens
A8MQ07,51.94241764344667,37,Homo sapiens
A8MT69,51.45327244649974,37,Homo sapiens
A8MT69,49.63797900112749,37,Homo sapiens
A8MUM1,52.624692359383126,37,Homo sapiens
A8MUM1,52.64738105584877,37,Homo sapiens
A8MWD9,54.8955160001513,37,Homo sapiens
A8MWD9,53.474908827086665,37,Homo sapiens
A8MXP9,45.606273075071826,37,Homo sapiens
A8MXP9,45.27855830531827,37,Homo sapiens
A8MXV4,53.01028068289334,37,Homo sapiens
A8MXV4,54.58216256340965,37,Homo sapiens
A8MYB1,50.930125002578606,37,Homo sapiens
A8MYB1,48.890818989807585,37,Homo sapiens
A8MYK1,50.13332902060727,37,Homo sapiens
A8MYK1,48.584597292557255,37,Homo sapiens
B0AZT5,52.74500955098062,37,Homo sapiens
B0AZT5,50.56451656330032,37,Homo sapiens
B0QY89,50.565878487807566,37,Homo sapiens
B0QY89,51.79139478540518,37,Homo sapiens
B0QY95,51.77615099865689,37,Homo sapiens
B0QY95,50.3350226559507,37,Homo sapiens
B0QYD3,49.14887642267804,37,Homo sapiens
