# accession,Tm,ogt,species
A0AV96,50.13212170527677,37,Homo sapiens
A0AVF1,48.045966331068655,37,Homo sapiens
A0AVT1,49.76510178577406,37,Homo sapiens
A0FGR8,50.498642390237926,37,Homo sapiens
A0JLT2,51.38085131249714,37,Homo sapiens
A0JNW5,52.68876697905022,37,Homo sapiens
A0MZ66,48.98153012456662,37,Homo sapiens
A1A4S6,45.79154213086934,37,Homo sapiens
A1A5D9,52.593992867998566,37,Homo sapiens
A1L020,51.790927422341326,37,Homo sapiens
A1L188,58.48246050746216,37,Homo sapiens
A1X283,48.171909181488004,37,Homo sapiens
A2A274,50.71794185587952,37,Homo sapiens
A2A2Q9,49.054254774641656,37,Homo sapiens
A2A2Y4,46.58421640986525,37,Homo sapiens
A2A3N6,52.625065624122264,37,Homo sapiens
A2ABF8,49.53186322758899,37,Homo sapiens
A2ABF9,50.370961190814995,37,Homo sapiens
A2AJT9,51.92541707563918,37,Homo sapiens
A2RRP1,48.76485406260334,37,Homo sapiens
A2RTX5,51.43463145320861,37,Homo sapiens
A2RUC4,52.82967670758417,37,Homo sapiens
A2RUR9,49.36632649131529,37,Homo sapiens
A2VCL2,55.087856131194805,37,Homo sapiens
A2VDF0,56.123490659933516,37,Homo sapiens
A3KMH1,50.1473022633728,37,Homo sapiens
A3KN83,50.33223244687086,37,Homo sapiens
A4D104,53.23187549761265,37,Homo sapiens
A4D1E1,51.17941135513051,37,Homo sapiens
A4D1E9,48.79976846964693,37,Homo sapiens
A4D1F6,52.10384996879031,37,Homo sapiens
A4D1P6,48.83778547246634,37,Homo sapiens
A4D212,47.53463560642174,37,Homo sapiens
A4D2H0,48.00904947364563,37,Homo sapiens
A4D2P6,51.036696987436706,37,Homo sapiens
A4GXA9,53.02168844403553,37,Homo sapiens
A5D8V6,50.28373330466935,37,Homo sapiens
A5PL33,48.82133617614656,37,Homo sapiens
A5YKK6,49.120826164574794,37,Homo sapiens
A6NCE7,52.65105949415818,37,Homo sapiens
A6NCM1,50.82009400666023,37,Homo sapiens
A6NDK9,54.343783978713155,37,Homo sapiens
A6NDU8,48.819862174377455,37,Homo sapiens
A6NE01,55.64067446139734,37,Homo sapiens
A6NE52,54.710033122126795,37,Homo sapiens
A6NED2,52.83235160991589,37,Homo sapiens
A6NEM2,51.93735409261296,37,Homo sapiens
A6NEQ2,63.4976737553448,37,Homo sapiens
A6NFD8,55.88942853618851,37,Homo sapiens
A6NFI3,48.77743688628236,37,Homo sapiens
